v_tri_state_onsite_releases.ST,v_tri_state_onsite_releases.YEAR,v_tri_state_onsite_releases.ON_SITE_AIR,v_tri_state_onsite_releases.ON_SITE_WATER,v_tri_state_onsite_releases.ON_SITE_LAND,v_tri_state_onsite_releases.ON_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.ON_OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.DATA_SET,
"AL","2018","28628035.8749240779625207125","11009159.717202208","20208263.224888222089","63876003.7975276645315","17902224.525684028468","81784752.9466178929995","INFO"
"AL","2017","26959320.73584988686549416","11204207.361409938","19645431.5964105331475","62030158.0878636115995","19597349.805719732745","81655809.5608091443445","INFO"
"AL","2016","29916547.50657464930764615","11435651.773041955","20647416.268316010578","67070486.441125315758","18088956.107845955245","85164296.692801571003","INFO"
"AL","2015","35833619.491090869157520525","10072279.94350489","21111418.9774679242615","75730993.0230227369165","14218068.69451166668","89952581.6931047035965","INFO"
"AL","2014","34857041.934116640190661265","14270061.7265666215","14120604.4166501548075","74838998.7923251908405","16985446.003998603452","91827272.8979465942925","INFO"
"AL","2013","32810029.8479166021689382775","13222412.1399615466","17578845.9751686194965","75298602.680983985832","13442193.7659277532355","88740796.4469117390675","INFO"
"AL","2012","33403531.40593832538858056","12772576.7898945583","10933565.4118684845345","70078954.3367757584665","12934908.0151833289505","83013862.351959087417","INFO"
"AL","2011","32758111.369235174348610205","10071672.6671012865","13479659.6983480653855","71292890.1773960904865","13605523.377505670857","84898413.5549017613435","INFO"
"AL","2010","33575270.9906756646584789575","10204034.9804512124","16116964.746457533555","76246380.688578831721","18402191.204777719905","94648571.893356551626","INFO"
"AL","2009","35592203.6067848875686541675","9091001.346656019","18909764.65790250966","78543752.9006872054485","14864775.2588344346","93408528.1595216400485","INFO"
"AL","2008","40486152.058833999910228035","9128321.7448332397","19462197.759992100939","87398589.1039436569255","28433996.305035836337","115832585.4089794932625","INFO"
"AL","2007","47198426.88786289347180808","5982181.8383176785","19968117.88896408545","89910453.097012338126","27959511.39167125083","117869964.488683588956","INFO"
"AL","2006","52146499.2188785216390265375","8624849.439804279","17447474.62588989835","93298241.4869125493575","27258068.367612324385","120556309.8545248737425","INFO"
"AL","2005","51871494.40866618267070769","10619502.4164911115","18862212.96530752485","98201962.507949445968","25832685.379640166935","124034647.887589612903","INFO"
