v_tri_state_onsite_releases.ST,v_tri_state_onsite_releases.YEAR,v_tri_state_onsite_releases.ON_SITE_AIR,v_tri_state_onsite_releases.ON_SITE_WATER,v_tri_state_onsite_releases.ON_SITE_LAND,v_tri_state_onsite_releases.ON_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.ON_OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.DATA_SET,
"IN","2018","27523100.1999782895899099725","15242822.048596","36657029.53812245","87684146.9167397216145","42523116.37673887118","130284549.3949720927945","INFO"
"IN","2017","25607122.751449624821629335","14130859.13663","32181633.29861288218","79129320.841773769767","50678730.6418360380815","129900333.4095146078485","INFO"
"IN","2016","27006443.1237651375818071375","18552747.99997","30937880.8136766984","84360363.0897519357275","48924685.019853390164","133310834.5570222258915","INFO"
"IN","2015","35342089.158631980804345265","17384971.8365","27504110.0853684185","87868261.885073484033","51934573.0307777054485","139823731.9415113894815","INFO"
"IN","2014","44149108.0569047979697745075","22453558.10312","29888531.4771918631795","105902123.517929435821","54387086.160537310293","160301156.056605346114","INFO"
"IN","2013","44656316.1214271381946352825","21913800.88132","27185850.25378545","103376159.2031213845965","51817316.856983713934","155193476.0601050985305","INFO"
"IN","2012","38798665.1960828715223049775","25193698.0097","24768714.58122765","95346100.3314693097755","53109307.2515079670955","148455407.582977276871","INFO"
"IN","2011","44148083.96479450923251669","28357666.9678494481","23120816.148409683","103794652.221616790518","52403005.6152768857185","156197657.8368936762365","INFO"
"IN","2010","47438251.58721329986449162","34501040.038935013845","22221681.55984985","115358826.781247550009","48572895.1562645733875","163931721.9375121233965","INFO"
"IN","2009","45586115.6251525233016584725","14990382.275975027075","20158631.96458055","91812976.7694697503895","47418037.17270549566","139231013.9421752460495","INFO"
"IN","2008","55225088.4117220096504085575","20626082.642158143065","22077337.1346107","112312517.2165250421165","118326064.67705723975","230638581.8935822818665","INFO"
"IN","2007","64262227.51849543308971275","27283998.29798579915","18986946.38654885","126531174.2206970907","137531638.6382702621","264062812.8589673528","INFO"
"IN","2006","73311238.145266380946090075","30055151.72116769545","21396441.012023","137154362.868330730865","129734381.081891715975","266888743.95022244684","INFO"
"IN","2005","73606174.262620796859743025","27554396.42189400415","21107912.721323","134985230.851559748055","133611625.4124858927","268596856.264045640755","INFO"
