v_tri_state_onsite_releases.ST,v_tri_state_onsite_releases.YEAR,v_tri_state_onsite_releases.ON_SITE_AIR,v_tri_state_onsite_releases.ON_SITE_WATER,v_tri_state_onsite_releases.ON_SITE_LAND,v_tri_state_onsite_releases.ON_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.ON_OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.DATA_SET,
"MS","2018","16395989.5292187884372806525","8461455.550804409571","15701823.123584045201","55602360.0221257162825","6347244.6713751925595","61949737.415990908842","INFO"
"MS","2017","17676829.3131566418399548075","7958560.8584882640985","20079147.7464185033885","61866742.5058340157885","4282533.6195852213825","66149935.593040237171","INFO"
"MS","2016","16047382.0234541885067600175","6125426.9220724575615","20697372.1576778145735","54712861.2828175411985","4283236.59069140495","59001119.6868255461485","INFO"
"MS","2015","19048440.1292008395088006425","6380936.9127237839945","21729197.431301107401","62030613.726674828584","3510742.4780007263835","65542517.4730405549675","INFO"
"MS","2014","25586837.6356043083119589725","7653070.1109043881","18449625.1682930451715","65757641.016223207686","4574236.249262359095","70332411.458630566781","INFO"
"MS","2013","25151947.4836389993117945275","7755433.1314836773065","17666608.2689691253715","63434305.3644829555635","4401833.041490146343","67836138.4059731019065","INFO"
"MS","2012","21434900.3539173777962179925","6778975.7505777931","14392150.446578921499","52957030.5013237455075","5355289.0398052440365","58312319.541128989544","INFO"
"MS","2011","20618529.0429815515457154575","4672415.311261081814","16945110.7524340424775","52586575.249543990573","3990639.1782846684065","56577214.4278286589795","INFO"
"MS","2010","19825001.58054128937943377","5029136.1878207651","19057169.72086555495","55855889.855419512094","5104476.59822478104","60960366.453644293134","INFO"
"MS","2009","16568569.7361751578681038075","5727236.41741616525","15536102.2693324288","48359533.7668981067515","4595788.039190221295","52955321.8060883280465","INFO"
"MS","2008","19596273.7932602399590094","7303551.79633244545","14869258.7439842835","52688923.17810005648","4456616.08533971865","57145539.26343977513","INFO"
"MS","2007","22917539.8805787588773942775","7349772.060742619","17148259.32756401605","58394366.0934543102855","3940293.43210168045","62334659.5255559907355","INFO"
"MS","2006","24329093.24611050400451373","7091642.838711945","16073593.97115595565","58946842.831492016756","3923089.0264429887465","62869931.8579350055025","INFO"
"MS","2005","24821698.6549256573161663975","7534389.5487578525","15088007.88747253","58248387.3792671044995","2809065.58184800415","61057452.9611151086495","INFO"
