v_tri_state_onsite_releases.ST,v_tri_state_onsite_releases.YEAR,v_tri_state_onsite_releases.ON_SITE_AIR,v_tri_state_onsite_releases.ON_SITE_WATER,v_tri_state_onsite_releases.ON_SITE_LAND,v_tri_state_onsite_releases.ON_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.ON_OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.DATA_SET,
"VA","2018","16508012.3435387266375778","9151500.55319786044","2033957.78192132675","28261921.72953983235","6459866.079486168266","34736309.077376700616","INFO"
"VA","2017","16519102.529981180484246225","11298000.62225373283","1668699.662777786235","30804183.94107765251","4798007.912617476452","35619478.838796028962","INFO"
"VA","2016","19099465.81323279973949542","13593487.515681152215","1988409.152856879585","36235478.641378580324","5407347.7915684086145","41662236.3970965889385","INFO"
"VA","2015","20135002.7278122511892723825","11612062.60952952237","1904775.16287666505","35146594.3023153866365","5565333.927605068495","40732518.1990924551315","INFO"
"VA","2014","23096824.3714264221433287","11155818.394212212315","2836434.872934552915","38521623.66320000937","5661089.500943262755","44199370.517279272125","INFO"
"VA","2013","22815687.1896536898394681975","11878689.533069033075","2627750.06450354051","38695272.7152418250445","7618525.2054960465735","46313797.920737871618","INFO"
"VA","2012","20855569.761666409490513355","11883638.672660439625","1771241.209729896795","35684640.7926960744715","7166734.55672106588","42851375.3494171403515","INFO"
"VA","2011","23850797.6518769493640574875","16779035.51823436295","1608446.9131396113","43660341.042314513062","3790913.0132571327355","47451254.0555716457975","INFO"
"VA","2010","27527017.3032469594876474275","18078769.5912717226","1855085.93381473379","49216143.0380234068855","4050751.422114695246","53266894.4601381021315","INFO"
"VA","2009","29427106.11013323109622322","18575462.547310762","1857645.932457845145","51908665.978125068069","5535991.664401096434","57444657.642526164503","INFO"
"VA","2008","36088394.99712480322826538","20443224.0383157785","2270138.75237754125","60689269.060335553556","7550404.2181949377455","68239673.2785304913015","INFO"
"VA","2007","39500838.587042516380568","19384978.674607043","2693558.3423291415","63607108.1505047021","8461057.622051444","72068165.7725561461","INFO"
"VA","2006","42347199.4269621010583007825","19478474.49236912","3310589.351329615","66724445.9714775686965","9462965.053492655145","76187411.0249702238415","INFO"
"VA","2005","48057909.260791596233914","19075899.4983285545","3373007.2032204025","72261934.5795813878","10968055.869923607","83229990.4495049948","INFO"
