v_tri_state_onsite_releases.ST,v_tri_state_onsite_releases.YEAR,v_tri_state_onsite_releases.ON_SITE_AIR,v_tri_state_onsite_releases.ON_SITE_WATER,v_tri_state_onsite_releases.ON_SITE_LAND,v_tri_state_onsite_releases.ON_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.ON_OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.DATA_SET,
"OR","2018","6032018.5835293091557568625","797969.958809606162","6419778.6309303699825","13292010.655535499617","3185893.844719884153","16478566.69118738377","INFO"
"OR","2017","6043248.2323473675369663675","909230.6895023813365","9996296.4007985634615","17018944.66885469149","2530592.8712849368225","19552643.5395756283125","INFO"
"OR","2016","6183282.5530410726484832175","888819.3615060845","8539277.1009139458195","15731194.326641541423","5141038.2095943574465","20874457.3193188988695","INFO"
"OR","2015","6597195.83416335155132475","996185.314788339","8016466.9009993997125","15704512.4634640456625","5593222.1248140117355","21300385.933568057398","INFO"
"OR","2014","6626392.8194623053173882725","1179929.9339145465","6994939.0013221120465","16081802.228727971421","6914013.727122807978","22998215.919384779399","INFO"
"OR","2013","6597895.53747232782522034","1017052.35052758","9430609.2016979719365","17118687.3447759388845","6944985.83013251","24063673.1749084488845","INFO"
"OR","2012","6683715.889073756659197105","1199383.9362155355","14591004.201656936225","22504711.860084967506","5778077.7667164974","28282789.626801464906","INFO"
"OR","2011","6452938.60625037927480525","1714170.722239415","12507685.51529680338","20699324.43854599743","6063037.58104794315","26762362.01959394058","INFO"
"OR","2010","6519254.60030398720971025","1545018.413199534","8916284.48911430919","16998706.01463300774","5155641.011592553","22154347.02622556074","INFO"
"OR","2009","6435796.597711970052914615","2123692.38092628","6070295.448042561325","14649019.055204078928","5131202.3309434215","19780221.386147500428","INFO"
"OR","2008","8805683.3541249359494577825","2721754.0687146535","8575490.84582487314","20129496.9856936162365","7397627.11923670675","27527124.1049303229865","INFO"
"OR","2007","10233535.64839054319292","2631185.119323587","11010544.66187709445","23940579.44446945695","8668819.1965795795","32609398.64104903645","INFO"
"OR","2006","11943042.515766295248897","2637646.584478948","10623306.17101736495","25301888.01693073585","8308370.0316973065","33610258.04862804235","INFO"
"OR","2005","12917462.4491407185068905","2254296.0115159045","10742063.5409289224","25917568.2827697725","7577745.885920434","33495314.1686902065","INFO"
