v_tri_state_onsite_releases.ST,v_tri_state_onsite_releases.YEAR,v_tri_state_onsite_releases.ON_SITE_AIR,v_tri_state_onsite_releases.ON_SITE_WATER,v_tri_state_onsite_releases.ON_SITE_LAND,v_tri_state_onsite_releases.ON_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.ON_OFF_SITE_DISP_OR_OTHER_REL,v_tri_state_onsite_releases.DATA_SET,
"ND","2018","7032359.1770001558151474275","173132.0816","15206882.186113885","25475946.9685547816655","12995438.3149","38476408.3787547816655","INFO"
"ND","2017","8889983.37136031420688537","134742.5003","13988241.248419232","25818535.556799446914","13242873.94224","39062112.472839446914","INFO"
"ND","2016","13524140.3841176284292109325","110795.3629","11694625.4600185155","28173347.7947267260265","14074591.2508","42248767.2803267260265","INFO"
"ND","2015","19820813.3047369843256003375","127705.1158","11484649.0183136645","36146679.0288863028675","14494954.6702","50642632.4847863028675","INFO"
"ND","2014","19774937.396464690878931305","202477.5583","11760733.262814326","39317899.154511823021","9794316.0326637","49112878.486361923021","INFO"
"ND","2013","16587716.00498096469573057","185412.215","10101437.028910798","34960210.167294288354","9804789.7759","44764999.943194288354","INFO"
"ND","2012","16188053.517455974790074345","157423.7858","12488640.3977894095","34700931.615006664409","7586300.90575","42287232.520756664409","INFO"
"ND","2011","3361947.3350657371371288825","106443.0027","5052529.57744851","14411449.0853813885165","6655045.7884","21066494.8737813885165","INFO"
"ND","2010","4040187.996114248831775465","91043.67","2832949.6920861505","13678929.326324237473","7444420.4926505","21123349.818974737473","INFO"
"ND","2009","3637129.40908998063317936","238523.21","2173048.880119511","13274621.669927054392","7973703.9230213","21248325.592948354392","INFO"
"ND","2008","4465712.047089524770687765","187696.01","2581394.86011907","14750002.331719873033","7911439.7084839","22661442.040203773033","INFO"
"ND","2007","4571856.9686349069084875","82128.41","2857137.0300882","13818534.9545189975","8394645.117506","22213180.0720249975","INFO"
"ND","2006","3584656.688735182585305","203307.64","2083099.55006615","13607158.094721971","8723852.5947531","22331010.689475071","INFO"
"ND","2005","3726263.32003428311068","208852.686","3297285.44024255","13994838.461790446","9065104.0831623","23059942.544952746","INFO"
